,municipio_distrito,fecha_informe,casos_confirmados_totales,tasa_incidencia_acumulada_total,MUNICIPIO,RENTA DISPONIBLE MEDIA,NUMERO HABITANTES,Renta Categorical
569,Madrid-Chamartín,2020/04/08 07:00:00,1079.0,734.59,Madrid-Chamartín,60.948,145865.0,Renta Alta
570,Madrid-Tetuán,2020/04/08 07:00:00,1480.0,905.32,Madrid-Tetuán,34.7,157937.0,Renta Alta
571,Madrid-Chamberí,2020/04/08 07:00:00,914.0,615.56,Madrid-Chamberí,48.989,139448.0,Renta Alta
574,Madrid-Latina,2020/04/08 07:00:00,1689.0,676.76,Madrid-Latina,30.156,238154.0,Renta Media-Alta
575,Madrid-Carabanchel,2020/04/08 07:00:00,1672.0,678.52,Madrid-Carabanchel,27.936,253040.0,Renta Media-Alta
576,Madrid-Usera,2020/04/08 07:00:00,978.0,658.8,Madrid-Usera,25.569000000000003,139501.0,Renta Media-Media
577,Madrid-Puente de Vallecas,2020/04/08 07:00:00,2226.0,870.43,Madrid-Puente de Vallecas,24.688000000000002,234770.0,Renta Media-Media
578,Madrid-San Blas - Canillejas,2020/04/08 07:00:00,1013.0,729.43,Madrid-San Blas - Canillejas,34.494,158166.0,Renta Alta
579,Madrid-Barajas,2020/04/08 07:00:00,306.0,580.85,Madrid-Barajas,46.347,48972.0,Renta Alta
580,Madrid-Moratalaz,2020/04/08 07:00:00,950.0,724.31,Madrid-Moratalaz,34.753,94609.0,Renta Alta
581,Madrid-Ciudad Lineal,2020/04/08 07:00:00,1498.0,566.02,Madrid-Ciudad Lineal,36.833,216270.0,Renta Alta
582,Madrid-Hortaleza,2020/04/08 07:00:00,1221.0,577.92,Madrid-Hortaleza,47.11,188267.0,Renta Alta
583,Madrid-Villaverde,2020/04/08 07:00:00,985.0,619.33,Madrid-Villaverde,26.599,148883.0,Renta Media-Alta
584,Madrid-Villa de Vallecas,2020/04/08 07:00:00,959.0,899.38,Madrid-Villa de Vallecas,30.17,110436.0,Renta Media-Alta
585,Madrid-Vicálvaro,2020/04/08 07:00:00,591.0,1122.57,Madrid-Vicálvaro,31.465999999999998,72126.0,Renta Media-Alta
586,Pozuelo de Alarcón,2020/04/08 07:00:00,413.0,467.72,Pozuelo de Alarcón,44.043,84360.0,Renta Alta
587,Alcorcón,2020/04/08 07:00:00,1113.0,636.58,Alcorcón,20.995,170336.0,Renta Media-Baja
588,Navalcarnero,2020/04/08 07:00:00,103.0,364.87,Navalcarnero,20.189,26364.0,Renta Media-Baja
589,San Agustín del Guadalix,2020/04/08 07:00:00,29.0,199.13,San Agustín del Guadalix,30.633000000000003,12953.0,Renta Media-Alta
593,Valdemorillo,2020/04/08 07:00:00,22.0,181.5,Valdemorillo,24.861,12058.0,Renta Media-Media
594,Velilla de San Antonio,2020/04/08 07:00:00,46.0,368.21,Velilla de San Antonio,20.5,12334.0,Renta Media-Baja
595,Villanueva de la Cañada,2020/04/08 07:00:00,62.0,254.27,Villanueva de la Cañada,32.688,18827.0,Renta Alta
596,Villanueva del Pardillo,2020/04/08 07:00:00,55.0,325.66,Villanueva del Pardillo,27.166999999999998,16730.0,Renta Media-Alta
597,Nuevo Baztán,2020/04/08 07:00:00,22.0,330.98,Nuevo Baztán,23.03,5959.0,Renta Media-Media
602,Aranjuez,2020/04/08 07:00:00,334.0,526.56,Aranjuez,20.976,57792.0,Renta Media-Baja
603,Cercedilla,2020/04/08 07:00:00,48.0,641.11,Cercedilla,20.721999999999998,6831.0,Renta Media-Baja
605,Coslada,2020/04/08 07:00:00,589.0,666.27,Coslada,20.386,88847.0,Renta Media-Baja
606,Morata de Tajuña,2020/04/08 07:00:00,77.0,991.37,Morata de Tajuña,17.993,7452.0,Renta Baja
609,Navas del Rey,2020/04/08 07:00:00,40.0,1358.7,Navas del Rey,17.605999999999998,2640.0,Renta Baja
611,Fuenlabrada,2020/04/08 07:00:00,1085.0,531.82,Fuenlabrada,17.832,195864.0,Renta Baja
612,Pinto,2020/04/08 07:00:00,149.0,280.33,Pinto,20.927,47594.0,Renta Media-Baja
616,Galapagar,2020/04/08 07:00:00,117.0,352.73,Galapagar,25.579,32380.0,Renta Media-Media
617,Griñón,2020/04/08 07:00:00,53.0,459.03,Griñón,22.293000000000003,9928.0,Renta Media-Media
618,Aldea del Fresno,2020/04/08 07:00:00,27.0,895.23,Aldea del Fresno,17.879,2528.0,Renta Baja
622,Ciempozuelos,2020/04/08 07:00:00,141.0,549.36,Ciempozuelos,18.608,23739.0,Renta Media-Baja
624,San Lorenzo de El Escorial,2020/04/08 07:00:00,53.0,299.18,San Lorenzo de El Escorial,24.318,18241.0,Renta Media-Media
625,San Martín de la Vega,2020/04/08 07:00:00,57.0,279.89,San Martín de la Vega,18.410999999999998,19092.0,Renta Media-Baja
626,Móstoles,2020/04/08 07:00:00,1294.0,592.09,Móstoles,19.06,205712.0,Renta Media-Baja
627,Leganés,2020/04/08 07:00:00,2200.0,1117.27,Leganés,19.548,186696.0,Renta Media-Baja
629,Algete,2020/04/08 07:00:00,74.0,333.26,Algete,27.386,20102.0,Renta Media-Alta
630,Mejorada del Campo,2020/04/08 07:00:00,139.0,567.21,Mejorada del Campo,18.533,22763.0,Renta Media-Baja
631,Loeches,2020/04/08 07:00:00,44.0,634.83,Loeches,19.984,8159.0,Renta Media-Baja
632,Parla,2020/04/08 07:00:00,563.0,411.83,Parla,17.772000000000002,125323.0,Renta Baja
636,Soto del Real,2020/04/08 07:00:00,49.0,500.2,Soto del Real,26.491999999999997,8482.0,Renta Media-Media
642,Cobeña,2020/04/08 07:00:00,28.0,375.49,Cobeña,28.180999999999997,6921.0,Renta Media-Alta
645,Guadarrama,2020/04/08 07:00:00,71.0,449.42,Guadarrama,22.3,15547.0,Renta Media-Media
646,San Martín de Valdeiglesias,2020/04/08 07:00:00,47.0,551.06,San Martín de Valdeiglesias,17.371,8516.0,Renta Baja
647,Torrelodones,2020/04/08 07:00:00,99.0,381.74,Torrelodones,33.721,22838.0,Renta Alta
648,Boadilla del Monte,2020/04/08 07:00:00,173.0,327.42,Boadilla del Monte,36.065,47852.0,Renta Alta
650,Tielmes,2020/04/08 07:00:00,28.0,1242.79,Tielmes,16.039,2617.0,Renta Baja
651,San Sebastián de los Reyes,2020/04/08 07:00:00,300.0,327.01,San Sebastián de los Reyes,24.82,83329.0,Renta Media-Media
652,Guadalix de la Sierra,2020/04/08 07:00:00,23.0,385.58,Guadalix de la Sierra,21.118000000000002,6057.0,Renta Media-Baja
653,Humanes de Madrid,2020/04/08 07:00:00,73.0,354.23,Humanes de Madrid,17.593,19404.0,Renta Baja
658,Meco,2020/04/08 07:00:00,112.0,801.03,Meco,21.186,13133.0,Renta Media-Baja
659,Arganda del Rey,2020/04/08 07:00:00,252.0,434.9,Arganda del Rey,19.113,55307.0,Renta Media-Baja
661,Daganzo de Arriba,2020/04/08 07:00:00,33.0,304.6,Daganzo de Arriba,23.326,9841.0,Renta Media-Media
665,Miraflores de la Sierra,2020/04/08 07:00:00,21.0,380.57,Miraflores de la Sierra,22.005,5890.0,Renta Media-Media
666,Paracuellos de Jarama,2020/04/08 07:00:00,55.0,239.04,Paracuellos de Jarama,28.272,21718.0,Renta Media-Alta
668,Collado Villalba,2020/04/08 07:00:00,227.0,327.68,Collado Villalba,21.276,62587.0,Renta Media-Media
671,Sevilla la Nueva,2020/04/08 07:00:00,22.0,221.13,Sevilla la Nueva,21.335,8858.0,Renta Media-Media
673,Brunete,2020/04/08 07:00:00,48.0,425.08,Brunete,23.574,10188.0,Renta Media-Media
674,Villa del Prado,2020/04/08 07:00:00,38.0,576.02,Villa del Prado,16.761,6506.0,Renta Baja
676,Valdemoro,2020/04/08 07:00:00,527.0,689.81,Valdemoro,21.309,72265.0,Renta Media-Media
677,Tres Cantos,2020/04/08 07:00:00,217.0,451.61,Tres Cantos,30.728,42546.0,Renta Media-Alta
681,Arroyomolinos,2020/04/08 07:00:00,106.0,406.3,Arroyomolinos,22.896,25374.0,Renta Media-Media
682,Moralzarzal,2020/04/08 07:00:00,46.0,353.25,Moralzarzal,25.058000000000003,12321.0,Renta Media-Media
683,Villarejo de Salvanés,2020/04/08 07:00:00,32.0,419.89,Villarejo de Salvanés,17.114,7301.0,Renta Baja
685,Villaviciosa de Odón,2020/04/08 07:00:00,128.0,461.43,Villaviciosa de Odón,29.414,26911.0,Renta Media-Alta
686,Camarma de Esteruelas,2020/04/08 07:00:00,37.0,519.88,Camarma de Esteruelas,20.953000000000003,7048.0,Renta Media-Baja
689,Majadahonda,2020/04/08 07:00:00,323.0,414.27,Majadahonda,35.254,70359.0,Renta Alta
691,Alcobendas,2020/04/08 07:00:00,435.0,358.87,Alcobendas,34.037,112188.0,Renta Alta
692,Alcalá de Henares,2020/04/08 07:00:00,1971.0,942.85,Alcalá de Henares,21.379,200768.0,Renta Media-Media
693,Colmenar Viejo,2020/04/08 07:00:00,213.0,422.59,Colmenar Viejo,23.982,47445.0,Renta Media-Media
694,San Fernando de Henares,2020/04/08 07:00:00,271.0,644.82,San Fernando de Henares,19.78,40781.0,Renta Media-Baja
695,Villalbilla,2020/04/08 07:00:00,79.0,706.94,Villalbilla,24.35,11916.0,Renta Media-Media
697,Torrejón de Ardoz,2020/04/08 07:00:00,777.0,561.87,Torrejón de Ardoz,19.585,126878.0,Renta Media-Baja
699,Torres de la Alameda,2020/04/08 07:00:00,53.0,643.2,Torres de la Alameda,19.135,7939.0,Renta Media-Baja
700,Alpedrete,2020/04/08 07:00:00,67.0,464.21,Alpedrete,24.855999999999998,14005.0,Renta Media-Media
702,Getafe,2020/04/08 07:00:00,763.0,398.65,Getafe,21.031999999999996,173057.0,Renta Media-Baja
