MUNICIPIO|Titulares|NUMERO DECLARACIONES|NUMERO HABITANTES|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL NACIONAL|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL AUTONOMICO|RENTA BRUTA MEDIA|RENTA DISPONIBLE MEDIA
 Albanchez de Mágina|679|548|1.140|2.930|552|12.242|11.196
 Iznatoraf|662|522|1.038|2.931|553|12.231|11.260
 Arquillos|1.010|752|1.900|2.941|559|12.124|11.091
 Chilluévar|920|730|1.533|2.943|561|12.058|11.048
 Cambil|1.610|1.228|2.861|2.949|564|11.822|11.003
 Montizón|1.087|834|1.797|2.951|566|11.770|10.859
 Huesa|1.518|1.149|2.604|2.956|568|11.521|10.560
 Agrupación municipios pequeños|5.434|4.310|10.063|-|-|12.945|11.791
 Málaga|707.390|576.318|1.621.968|||21.519|18.011
 Benahavís|1.486|1.255|6.660|101|3|29.742|22.743
 Rincón de la Victoria|21.470|17.715|42.688|232|17|26.477|21.647
 Málaga|256.989|211.297|566.913|520|27|23.962|19.850
 Alhaurín de la Torre|17.761|14.255|38.300|586|30|23.581|19.589
 Benalmádena|26.714|22.718|66.939|607|33|23.389|19.233
 Marbella|58.094|48.372|138.679|680|37|22.935|18.935
 Torremolinos|27.484|23.308|67.353|748|44|22.530|18.729
 Antequera|20.077|16.099|41.430|900|52|21.614|18.080
 Fuengirola|26.937|22.367|75.856|967|57|21.256|17.852
 Ronda|18.169|14.528|36.208|1.100|70|20.514|17.270
 Mijas|29.071|23.833|77.521|1.173|74|20.157|17.017
 Estepona|27.812|22.573|66.566|1.199|76|20.037|16.867
 Manilva|5.017|4.086|14.451|1.297|91|19.566|16.492
 Vélez|35.635|28.502|77.808|1.364|99|19.262|16.339
 Ojén|1.469|1.226|3.326|1.377|101|19.199|16.272
 Casares|2.082|1.663|5.744|1.505|112|18.577|15.731
 Istán|665|515|1.404|1.592|126|18.197|15.382
 Campillos|3.962|3.124|8.570|1.622|131|18.085|15.625
 Cártama|10.625|8.436|24.328|1.707|145|17.732|15.319
 Fuente de Piedra|1.085|887|2.612|1.726|149|17.652|15.262
 Nerja|8.925|7.224|20.649|1.763|155|17.470|15.112
 Coín|9.365|7.095|21.553|1.809|166|17.297|14.858
 Casabermeja|1.458|1.154|3.498|1.823|170|17.238|15.031
 Almargen|1.041|783|2.122|1.926|190|16.821|14.547
 Pizarra|3.967|3.010|9.201|1.977|201|16.642|14.537
 Archidona|4.448|3.606|8.577|2.030|210|16.463|14.302
 Torrox|6.607|5.293|15.511|2.125|232|16.151|13.988
 Alhaurín el Grande|9.145|6.905|24.210|2.130|234|16.131|14.073
 Algarrobo|2.660|2.036|6.103|2.170|244|15.958|13.968
 Mollina|2.072|1.667|4.943|2.243|264|15.652|13.806
 Arriate|2.017|1.586|4.125|2.254|268|15.594|13.673
 Humilladero|1.469|1.179|3.377|2.256|269|15.582|13.709
 Frigiliana|1.386|1.129|3.093|2.279|274|15.469|13.625
 Gaucín|708|539|1.671|2.280|275|15.468|13.593
 Monda|1.048|836|2.375|2.309|282|15.359|13.446
 Casarabonela|1.218|910|2.592|2.323|286|15.319|13.554
 Alameda|2.291|1.778|5.403|2.337|292|15.251|13.394
 Guaro|797|643|2.143|2.417|318|14.965|13.195
 Colmenar|1.445|1.122|3.486|2.467|333|14.822|13.201
 Cortes de la Frontera|1.640|1.258|3.357|2.491|340|14.721|12.991
 Alora|5.772|4.330|13.046|2.499|343|14.702|12.979
 Ardales|1.296|1.007|2.555|2.503|346|14.685|13.038
 Sierra de Yeguas|1.637|1.305|3.444|2.510|348|14.632|13.033
 Teba|2.009|1.543|4.001|2.523|351|14.553|13.077
 Villanueva de la Concepción|1.528|1.176|3.429|2.534|356|14.527|12.840
 Villanueva del Rosario|1.992|1.567|3.538|2.541|360|14.509|12.941
 Alcaucín|1.061|854|2.454|2.620|383|14.219|12.774
 Benaoján|656|519|1.523|2.637|394|14.158|12.535
 Almogía|1.408|1.034|3.906|2.658|405|14.077|12.605
 Moclinejo|382|295|1.256|2.664|409|14.027|12.317
 Cañete la Real|856|709|1.768|2.667|411|14.003|12.458
 Viñuela|847|675|1.921|2.668|412|13.999|12.545
 Riogordo|1.161|852|2.896|2.681|418|13.945|12.513
 Cuevas Bajas|693|548|1.431|2.684|420|13.933|12.397
 Cómpeta|1.461|1.140|3.459|2.693|425|13.895|12.385
 Villanueva del Trabuco|2.859|2.244|5.270|2.694|426|13.894|12.415
 Cuevas de San Marcos|1.982|1.577|3.951|2.707|429|13.850|12.358
 Alozaina|1.025|778|2.119|2.717|434|13.801|12.430
 Sayalonga|601|464|1.512|2.745|448|13.685|12.328
 Tolox|1.122|838|2.233|2.762|453|13.561|12.221
 Cuevas del Becerro|857|664|1.670|2.777|465|13.485|12.175
 Villanueva de Algaidas|2.291|1.861|4.373|2.780|467|13.467|12.067
 Valle de Abdalajís|1.140|925|2.664|2.815|482|13.240|11.945
 Burgo, El|947|716|1.922|2.816|483|13.234|11.964
 Yunquera|1.614|1.182|3.046|2.826|489|13.201|11.954
 Villanueva de Tapia|944|786|1.564|2.840|501|13.115|11.827
 Periana|1.617|1.227|3.361|2.857|512|12.984|11.762
 Canillas de Aceituno|770|606|1.746|2.861|515|12.966|11.666
 Benamocarra|1.430|1.139|3.029|2.867|519|12.928|11.469
 Alfarnate|576|455|1.198|2.868|520|12.927|11.716
 Comares|483|377|1.435|2.944|562|12.025|11.038
 Benamargosa|734|600|1.489|2.947|563|11.960|10.986
 Arenas|665|534|1.282|2.957|569|11.477|10.621
 Almáchar|996|806|1.890|2.963|572|10.513|9.811
 Agrupación municipios pequeños|5.667|4.473|14.242|-|-|13.520|12.131
 Sevilla|911.232|737.201|1.941.355|||22.731|18.782
 Tomares|12.368|10.397|24.501|59|1|32.128|25.303
 Espartinas|7.522|6.234|14.723|70|2|31.216|24.592
 Castilleja de Guzmán|1.390|1.138|2.871|115|4|29.413|23.465
 Valencina de la Concepción|3.973|3.219|7.930|118|5|29.291|23.389
 Mairena del Aljarafe|21.651|17.946|43.723|147|6|28.259|22.651
 Gines|6.581|5.427|13.299|151|7|28.085|22.570
 Gelves|4.861|3.968|9.688|166|8|27.660|22.179
 Palomares del Río|4.025|3.326|8.022|218|13|26.699|21.817
 Bormujos|10.158|8.264|20.947|220|14|26.661|21.633
 Sevilla|351.935|294.134|696.676|221|15|26.652|21.568
 Salteras|2.566|2.083|5.468|587|31|23.573|19.385
 Dos Hermanas|60.267|48.413|130.369|685|38|22.914|18.984
 Castilleja de la Cuesta|7.763|6.289|17.536|721|40|22.687|18.802
 Bollullos de la Mitación|4.809|3.901|10.031|737|42|22.604|18.749
 Alcalá de Guadaíra|32.722|25.610|74.404|807|47|22.161|18.485
 San Juan de Aznalfarache|8.721|6.926|21.576|825|49|22.041|18.492
 Almensilla|2.902|2.357|5.816|902|53|21.602|17.991
 Camas|11.835|9.346|26.665|910|54|21.587|18.074
 Sanlúcar la Mayor|5.601|4.478|13.466|1.047|61|20.764|17.355
 Guillena|5.055|3.976|12.464|1.051|62|20.756|17.364
 Santiponce|3.765|2.914|8.439|1.186|75|20.092|17.005
 Mairena del Alcor|10.632|8.450|22.447|1.230|81|19.890|16.795
 Gerena|3.397|2.618|7.309|1.241|83|19.833|16.858
 Algaba, La|6.873|5.209|16.105|1.242|84|19.821|16.852
 Aznalcázar|1.732|1.407|4.349|1.247|85|19.795|16.662
 Umbrete|3.960|3.127|8.608|1.259|87|19.755|16.745
 Villanueva del Ariscal|2.800|2.212|6.324|1.264|88|19.743|16.707
 Rinconada, La|16.658|13.026|38.021|1.265|89|19.740|16.714
 Utrera|23.020|17.729|52.437|1.344|95|19.329|16.421
 Coria del Río|12.229|9.565|30.208|1.355|98|19.291|16.375
 Puebla del Río, La|4.778|3.622|12.190|1.392|103|19.145|16.299
 Huévar del Aljarafe|1.191|1.005|2.746|1.396|104|19.125|16.324
 Carmona|12.541|9.847|28.717|1.410|106|19.021|16.153
 Alcalá del Río|4.951|3.898|11.690|1.440|109|18.866|16.140
 Osuna|8.234|6.663|17.818|1.554|120|18.367|15.693
 Benacazón|3.202|2.473|7.214|1.575|122|18.253|15.699
 Olivares|4.103|3.100|9.564|1.580|124|18.231|15.590
 Aznalcóllar|2.650|1.955|6.144|1.616|128|18.102|15.434
 Morón de la Frontera|13.163|10.349|28.241|1.621|130|18.093|15.457
 Burguillos|2.578|2.031|6.475|1.640|135|18.025|15.516
 Ecija|18.919|14.983|40.634|1.665|140|17.888|15.307
 Carrión de los Céspedes|993|802|2.551|1.700|143|17.770|15.299
 Brenes|4.938|3.962|12.696|1.768|156|17.451|15.073
 Marchena|9.235|7.236|19.940|1.778|161|17.423|14.977
 Villanueva del Río y Minas|1.631|1.217|5.035|1.800|165|17.329|15.079
 Roda de Andalucía, La|1.887|1.524|4.297|1.840|174|17.134|14.781
 Viso del Alcor, El|8.733|6.660|19.119|1.867|179|17.021|14.743
 Isla Mayor|2.171|1.780|5.930|1.898|186|16.915|14.532
 Albaida del Aljarafe|1.496|1.121|3.089|1.907|187|16.875|14.700
 Cantillana|3.989|3.134|10.842|1.918|188|16.846|14.651
 Ronquillo, El|636|504|1.427|1.919|189|16.845|14.617
 Molares, Los|1.356|1.047|3.508|1.937|192|16.793|14.635
 Constantina|2.405|1.874|6.264|1.946|194|16.750|14.528
 Estepa|6.654|5.536|12.667|1.956|198|16.721|14.341
 Lebrija|12.645|9.602|27.385|1.975|200|16.643|14.357
 Cazalla de la Sierra|2.308|1.813|5.038|1.993|204|16.586|14.277
 Castillo de las Guardas, El|602|467|1.539|1.997|205|16.569|14.441
 Pilas|5.654|4.441|14.014|2.002|206|16.562|14.380
 Gilena|1.773|1.427|3.867|2.048|214|16.410|14.094
 Arahal|8.707|6.692|19.585|2.081|221|16.301|14.278
 Lora del Río|7.994|6.548|19.393|2.158|241|16.025|13.977
 Palacios y Villafranca, Los|16.321|12.075|38.095|2.163|243|15.999|13.969
 Tocina|4.091|3.211|9.685|2.180|246|15.904|13.932
 Pedroso, El|928|720|2.163|2.189|249|15.867|13.839
 Castilblanco de los Arroyos|1.945|1.499|5.033|2.233|259|15.723|13.731
 Coronil, El|2.270|1.798|4.996|2.244|265|15.642|13.700
 Real de la Jara, El|673|500|1.615|2.262|271|15.550|13.523
 Herrera|3.413|2.724|6.525|2.304|280|15.384|13.440
 Villaverde del Río|2.865|2.279|7.777|2.328|287|15.291|13.432
 Luisiana, La|2.327|1.811|4.672|2.363|301|15.161|13.334
 Villamanrique de la Condesa|1.719|1.318|4.406|2.378|306|15.092|13.249
 Guadalcanal|1.352|1.000|2.805|2.400|312|15.013|13.299
 Paradas|3.250|2.527|7.063|2.401|313|15.011|13.213
 Puebla de Cazalla, La|5.307|4.162|11.352|2.411|316|14.977|13.288
 Aguadulce|998|853|2.149|2.455|329|14.864|13.228
 Cañada Rosal|1.678|1.418|3.288|2.457|331|14.861|12.966
 Peñaflor|1.592|1.328|3.755|2.472|335|14.796|12.972
 Almadén de la Plata|576|467|1.503|2.527|353|14.541|12.846
 Cabezas de San Juan, Las|6.930|5.281|16.546|2.566|368|14.400|12.809
 Alcolea del Río|1.454|1.167|3.402|2.636|393|14.165|12.579
 Saucejo, El|2.206|1.683|4.407|2.643|395|14.141|12.617
 Pedrera|2.537|2.038|5.364|2.652|401|14.109|12.533
 Fuentes de Andalucía|3.677|2.952|7.188|2.655|402|14.100|12.449
 Rubio, El|1.682|1.442|3.520|2.682|419|13.941|12.329
 Casariche|2.649|2.115|5.596|2.716|433|13.803|12.285
 Coripe|752|607|1.361|2.751|450|13.632|12.261
 Montellano|3.293|2.667|7.092|2.756|451|13.590|12.058
 Cuervo de Sevilla, El|3.505|2.621|8.721|2.763|454|13.560|12.102
 Campana, La|2.135|1.690|5.451|2.789|471|13.407|11.934
 Martín de la Jara|1.381|1.090|2.796|2.808|478|13.285|11.995
 Pruna|1.225|989|2.740|2.832|495|13.169|11.912
 Villanueva de San Juan|749|578|1.257|2.834|497|13.137|12.042
 Algámitas|706|555|1.316|2.841|502|13.110|11.887
 Puebla de los Infantes, La|1.422|1.164|3.115|2.844|504|13.087|11.676
 Alanís|907|719|1.832|2.846|506|13.066|11.643
 Navas de la Concepción, Las|811|667|1.684|2.858|513|12.981|11.621
 Lantejuela, La|1.740|1.377|3.899|2.863|517|12.957|11.620
 Marinaleda|1.178|970|2.748|2.883|526|12.831|11.645
 Badolatosa|1.452|1.120|3.150|2.890|531|12.767|11.554
 Corrales, Los|2.245|1.879|4.029|2.913|540|12.469|11.245
 Agrupación municipios pequeños|1.403|1.138|3.218|-|-|15.698|13.673
 Aragón|800.859|684.334|1.325.375|||23.967|19.782
 Huesca|129.553|111.171|224.909|||22.355|18.656
 Huesca|33.509|29.590|52.555|347|6|25.213|20.713
 Sabiñánigo|5.943|4.997|9.883|523|10|23.946|19.950
 Jaca|7.610|6.718|13.121|597|13|23.488|19.430
 Binéfar|5.358|4.504|9.461|653|16|23.062|19.105
 Barbastro|10.367|8.958|17.109|701|20|22.808|18.985
 Monzón|9.854|8.233|17.176|771|26|22.379|18.663
 Alcolea de Cinca|697|559|1.136|883|36|21.717|18.226
 Sallent de Gállego|783|701|1.484|924|39|21.475|17.831
 Fraga|7.949|6.788|14.926|935|41|21.377|17.819
 Tardienta|592|505|1.005|937|42|21.376|18.197
 Biescas|797|697|1.535|950|43|21.301|18.039
 Boltaña|497|435|1.041|969|45|21.246|17.737
 Sariñena|2.398|2.003|4.293|977|46|21.198|17.799
 Aínsa|1.198|1.064|2.213|983|47|21.187|17.819
 Benasque|889|815|2.149|991|48|21.150|17.394
 Almudévar|1.536|1.304|2.519|993|49|21.145|17.999
 Tamarite de Litera|2.019|1.700|3.604|1.028|51|20.892|17.618
 Sotonera, La|502|424|1.013|1.050|53|20.760|17.501
 Altorricón|822|706|1.477|1.104|56|20.462|17.149
 Graus|2.129|1.838|3.429|1.119|57|20.409|17.228
 Binaced|872|745|1.539|1.193|63|20.063|16.981
 Benabarre|620|526|1.153|1.216|66|19.938|16.987
 Lalueza|597|487|1.024|1.323|73|19.441|16.710
 Grañén|959|787|1.902|1.404|78|19.047|16.468
 Torrente de Cinca|605|500|1.205|1.421|81|18.992|16.140
 Albalate de Cinca|705|586|1.201|1.524|88|18.506|15.842
 Gurrea de Gállego|847|687|1.575|1.543|90|18.439|15.967
 Ayerbe|649|559|1.097|1.556|91|18.355|15.726
 Lanaja|753|615|1.324|1.670|93|17.879|15.554
 Belver de Cinca|817|686|1.346|1.939|102|16.790|14.667
 Zaidín|998|832|1.837|2.104|105|16.239|14.150
 Agrupación municipios pequeños|25.682|21.622|48.577|-|-|19.739|16.807
 Teruel|83.272|69.896|140.355|||20.939|17.573
 Andorra|4.905|3.727|8.148|106|1|29.663|23.894
 Teruel|22.893|20.437|35.675|383|7|24.951|20.400
 Utrillas|1.856|1.476|3.194|700|19|22.809|18.946
 Alcorisa|2.114|1.698|3.433|772|27|22.379|18.642
 Montalbán|837|661|1.335|801|30|22.200|18.636
 Alcañiz|9.561|8.158|16.333|905|38|21.600|17.984
 Albalate del Arzobispo|1.197|925|2.025|963|44|21.273|17.659
 Albarracín|495|420|1.059|1.237|69|19.856|17.078
 Calamocha|2.814|2.342|4.469|1.260|70|19.754|16.712
 Híjar|1.016|794|1.763|1.308|72|19.513|16.498
 Valderrobres|1.302|1.080|2.337|1.422|82|18.987|16.159
 Monreal del Campo|1.566|1.314|2.636|1.432|83|18.910|16.183
 Cella|1.715|1.418|2.818|1.467|86|18.755|16.202
 Mora de Rubielos|933|789|1.612|1.478|87|18.723|15.913
 Santa Eulalia|670|544|1.111|1.666|92|17.888|15.390
 Calanda|2.372|1.926|3.920|1.706|95|17.736|15.156
 Sarrión|627|512|1.152|1.730|96|17.625|15.264
 Mas de las Matas|853|716|1.324|1.790|98|17.370|14.994
 Calaceite|648|527|1.076|2.612|113|14.256|12.588
 Agrupación municipios pequeños|24.898|20.432|44.935|-|-|16.210|14.237
 Zaragoza|588.034|503.267|960.111|||24.743|20.338
 Cuarte de Huerva|6.638|5.959|11.589|157|2|27.901|22.443
 Villanueva de Gállego|2.592|2.231|4.616|204|3|26.912|21.720
 Zaragoza|420.739|362.687|666.058|241|4|26.390|21.515
 Cadrete|2.038|1.793|3.538|326|5|25.473|20.772
 Muela, La|2.751|2.398|4.948|402|8|24.785|20.515
 Figueruelas|735|606|1.263|505|9|24.058|20.001
 Burgo de Ebro, El|1.406|1.204|2.381|549|11|23.768|19.692
 María de Huerva|3.068|2.683|5.359|579|12|23.637|19.571
 Utebo|10.548|8.834|18.429|611|14|23.350|19.434
 Villamayor de Gállego|1.607|1.345|2.820|630|15|23.204|19.124
 San Mateo de Gállego|1.842|1.535|3.093|688|17|22.875|19.185
 Pastriz|790|677|1.310|691|18|22.864|18.902
 Escatrón|599|488|1.113|712|21|22.769|18.700
 Pinseque|2.104|1.836|3.625|715|22|22.744|18.897
 Zuera|4.585|3.915|7.742|739|23|22.584|18.656
 Alfajarín|1.440|1.232|2.250|742|24|22.568|18.801
 Calatayud|12.107|10.342|20.658|749|25|22.527|18.762
 Mequinenza|1.482|1.189|2.393|785|28|22.297|18.545
 Sobradiel|640|555|1.083|795|29|22.223|18.475
 Joyosa, La|570|486|1.007|804|31|22.178|18.690
 Muel|771|635|1.375|818|32|22.086|18.715
 Puebla de Alfindén, La|3.469|3.000|5.864|831|33|21.999|18.383
 Alagón|3.940|3.374|7.052|851|34|21.886|18.359
 Sástago|786|668|1.221|879|35|21.733|18.087
 Morata de Jalón|740|561|1.209|890|37|21.684|18.618
 Bujaraloz|585|471|1.021|932|40|21.419|17.990
 Tauste|4.274|3.524|7.027|1.008|50|21.035|17.726
 Fuentes de Ebro|2.697|2.221|4.643|1.046|52|20.775|17.592
 Gelsa|686|560|1.122|1.080|54|20.599|17.555
 Pina de Ebro|1.464|1.232|2.567|1.087|55|20.572|17.433
 Remolinos|655|500|1.149|1.126|58|20.374|17.213
 Pedrola|2.052|1.713|3.622|1.128|59|20.372|17.269
 Borja|2.753|2.347|4.931|1.141|60|20.304|17.151
 Quinto|1.183|951|2.055|1.150|61|20.278|17.154
 Ateca|1.139|950|2.019|1.168|62|20.199|17.416
 Leciñena|757|622|1.234|1.194|64|20.062|17.188
 Torres de Berrellén|953|806|1.492|1.198|65|20.050|17.025
 Ejea de los Caballeros|9.974|8.245|16.870|1.225|67|19.910|16.827
 Tarazona|6.277|5.465|10.864|1.232|68|19.876|16.856
 Cariñena|1.976|1.674|3.457|1.275|71|19.681|16.764
 Gallur|1.639|1.309|2.779|1.357|74|19.280|16.540
 Daroca|1.280|1.088|2.193|1.378|75|19.199|16.393
 Luceni|596|476|1.014|1.390|76|19.147|16.391
 Mallén|1.951|1.600|3.399|1.403|77|19.050|16.233
 Belchite|903|741|1.589|1.405|79|19.046|16.305
 Almunia de Doña Godina, La|4.392|3.718|7.836|1.413|80|19.010|16.199
 Sádaba|798|657|1.460|1.458|84|18.808|16.143
 Epila|2.468|2.088|4.593|1.464|85|18.766|16.054
 Calatorao|1.705|1.386|2.895|1.536|89|18.474|15.923
 Caspe|5.540|4.660|9.927|1.692|94|17.793|15.210
 Magallón|709|595|1.183|1.742|97|17.574|15.311
 Alhama de Aragón|639|539|1.115|1.833|99|17.177|14.848
 Ainzón|690|598|1.162|1.896|100|16.922|14.616
 Ariza|614|511|1.185|1.935|101|16.798|14.506
 Alfamén|818|677|1.475|1.982|103|16.631|14.395
 Biota|643|514|1.022|2.091|104|16.275|14.308
 Illueca|1.914|1.631|3.159|2.236|106|15.711|13.699
 Brea de Aragón|1.014|850|1.734|2.308|107|15.373|13.539
 Fabara|739|623|1.231|2.454|108|14.865|13.119
 Maluenda|577|499|1.080|2.470|109|14.805|13.188
 Ricla|1.642|1.374|3.203|2.477|110|14.780|12.988
 Nonaspe|645|510|1.016|2.513|111|14.613|13.099
 Maella|1.365|1.116|1.958|2.610|112|14.262|12.612
 Agrupación municipios pequeños|29.341|23.993|55.834|-|-|16.765|14.695
 Principado de Asturias|627.856|515.156|1.061.756|||24.706|20.331
 Asturias|627.856|515.156|1.061.756|||24.706|20.331
 Oviedo|137.874|118.391|223.765|164|1|27.673|22.372
 Riosa|1.111|837|2.098|196|2|27.046|21.668
 Castrillón|14.499|11.535|22.816|200|3|26.963|21.899
 Degaña|581|416|1.110|257|4|26.214|21.123
 Morcín|1.559|1.235|2.811|260|5|26.186|21.286
 Gijón|165.766|137.386|275.735|318|6|25.567|21.041
 Llanera|8.200|6.814|14.030|364|7|25.081|20.421
 Aller|7.006|5.335|11.768|366|8|25.072|20.536
 Mieres|24.937|19.209|41.013|373|9|25.013|20.561
 Lena|7.038|5.436|11.949|386|10|24.931|20.458
 Avilés|49.443|39.621|81.659|392|11|24.850|20.549
 Laviana|8.731|6.568|13.791|410|12|24.703|20.193
 Ribera de Arriba|913|721|1.903|420|13|24.623|20.390
 San Martín del Rey Aurelio|10.552|7.912|17.460|432|14|24.539|20.238
 Siero|30.571|24.916|52.380|441|15|24.492|20.179
 Langreo|25.047|19.433|42.403|509|16|24.036|19.851
 Noreña|3.209|2.659|5.422|510|17|24.018|19.843
 Carreño|6.530|5.343|10.700|516|18|23.980|19.880
 Gozón|6.397|5.119|10.675|569|19|23.670|19.651
 Muros de Nalón|1.074|842|1.880|656|20|23.043|19.253
 Soto del Barco|2.314|1.820|4.012|681|21|22.930|19.111
 Corvera de Asturias|9.473|7.394|16.153|752|22|22.480|18.870
 Navia|5.353|4.391|8.772|774|23|22.343|18.531
 Illas|629|518|1.040|779|24|22.318|18.650
 Bimenes|899|685|1.777|813|25|22.110|18.620
 Regueras, Las|1.012|862|1.916|872|26|21.772|18.434
 Coaña|1.953|1.579|3.436|874|27|21.768|18.107
 Nava|3.099|2.461|5.444|960|28|21.285|17.889
 Cangas del Narcea|7.995|6.360|13.710|966|29|21.257|17.771
 Teverga|727|590|1.807|970|30|21.245|18.151
 Villaviciosa|8.700|7.144|14.820|987|31|21.170|17.723
 Sariego|768|593|1.295|1.030|32|20.891|17.552
 Ribadesella|3.263|2.670|6.002|1.130|33|20.370|17.144
 Grado|5.664|4.604|10.471|1.135|34|20.345|17.340
 Pravia|4.831|3.872|8.799|1.201|35|20.024|16.991
 Cudillero|2.914|2.343|5.369|1.234|36|19.870|16.916
 Tapia de Casariego|2.183|1.832|3.929|1.326|37|19.432|16.469
 Llanes|7.086|6.012|13.960|1.329|38|19.415|16.375
 Candamo|1.008|810|2.108|1.345|39|19.323|16.584
 Ibias|614|502|1.516|1.349|40|19.317|16.704
 Franco, El|2.212|1.823|3.901|1.389|41|19.151|16.270
 Quirós|464|405|1.277|1.461|42|18.786|16.084
 Parres|2.909|2.447|5.590|1.497|43|18.601|15.869
 Cangas de Onís|3.396|2.862|6.678|1.583|44|18.219|15.549
 Tineo|5.576|4.514|10.413|1.599|45|18.161|15.574
 Colunga|1.994|1.647|3.569|1.608|46|18.128|15.575
 Salas|2.917|2.410|5.516|1.628|47|18.070|15.596
 Valdés|7.179|5.913|12.635|1.678|48|17.830|15.351
 Belmonte de Miranda|679|574|1.653|1.685|49|17.810|15.394
 Castropol|2.016|1.691|3.696|1.714|50|17.709|15.180
 Piloña|3.956|3.229|7.530|1.728|51|17.643|15.193
 Vegadeo|2.361|1.955|3.996|1.761|52|17.490|14.945
 Ribadedeva|904|734|1.862|1.802|53|17.328|14.934
 Caso|620|530|1.704|1.958|54|16.712|14.276
 Cabranes|450|373|1.075|2.085|55|16.291|14.155
 Cabrales|1.009|832|2.097|2.151|56|16.059|13.809
 Boal|883|732|1.709|2.185|57|15.876|13.768
 Allande|968|798|1.858|2.273|58|15.519|13.592
 Peñamellera Baja|598|491|1.300|2.450|59|14.873|12.970
 Somiedo|443|386|1.281|2.535|60|14.523|12.705
 Villayón|738|608|1.393|2.754|61|13.618|12.245
 Agrupación municipios pequeños|4.061|3.432|9.319|-|-|15.796|13.700
 Illes Balears|531.522|472.453|1.103.442|||24.296|19.915
 Balears, Illes|531.522|472.453|1.103.442|||24.296|19.915
 Valldemossa|925|831|2.025|42|1|33.776|26.621
 Esporles|2.551|2.288|4.940|98|2|29.801|23.762
 Puigpunyent|904|803|2.016|103|3|29.708|23.850
 Bunyola|3.587|3.162|6.662|108|4|29.565|23.649
 Marratxí|19.333|16.927|35.521|183|5|27.257|22.109
 Palma de Mallorca|195.978|174.430|399.093|235|6|26.452|21.393
 Calvià|23.256|20.816|50.363|236|7|26.437|21.464
 Alaró|2.523|2.209|5.227|240|8|26.392|21.330
 Santa Eugènia|840|734|1.652|249|9|26.285|21.460
 Eivissa|23.747|21.503|49.693|338|10|25.318|20.686
 Santa María del Camí|3.461|3.027|6.591|352|11|25.172|20.576
 Llucmajor|17.802|15.946|34.602|393|12|24.842|20.259
 Formentera|3.580|3.225|11.545|417|13|24.657|20.327
 Sóller|6.238|5.581|13.842|421|14|24.619|20.258
 Sant Lluís|3.159|2.796|7.472|425|15|24.590|20.240
 Mancor de la Vall|712|618|1.309|428|16|24.577|20.183
 Sencelles|1.519|1.333|3.073|461|17|24.358|19.901
 Maó|14.161|12.493|28.460|506|18|24.051|19.859
 Algaida|2.578|2.282|5.354|558|19|23.719|19.436
 Binissalem|3.791|3.249|7.936|561|20|23.718|19.640
 Sant Joan de Labritja|1.928|1.716|5.668|584|21|23.609|19.596
 Selva|1.838|1.604|3.858|591|22|23.521|19.327
 Montuïri|1.372|1.183|2.888|612|23|23.345|19.134
 Pollença|8.070|7.167|16.088|624|24|23.241|19.279
 Santa Eulalia del Río|13.297|11.910|36.189|640|25|23.173|19.241
 Costitx|495|426|1.183|644|26|23.149|18.969
 Sant Josep de sa Talaia|9.565|8.614|25.362|663|27|23.012|19.018
 Consell|1.961|1.704|3.859|708|28|22.784|19.041
 Castell, Es|3.739|3.278|7.661|718|29|22.717|18.804
 Lloret de Vistalegre|539|478|1.251|719|30|22.716|18.761
 Andratx|5.162|4.608|10.806|741|31|22.571|18.833
 Campanet|1.359|1.209|2.554|760|32|22.439|18.737
 Sineu|1.761|1.541|3.681|762|33|22.425|18.482
 Búger|515|453|1.030|764|34|22.414|18.605
 Salines, Ses|2.417|2.201|5.050|828|35|22.013|18.441
 Llubí|1.154|999|2.216|833|36|21.973|18.238
 Petra|1.364|1.145|2.812|850|37|21.889|18.224
 Alcúdia|9.159|8.367|19.768|906|38|21.598|18.001
 Santa Margalida|5.863|5.287|11.680|907|39|21.594|17.842
 Santanyí|5.825|5.258|11.636|961|40|21.281|17.842
 Sant Joan|1.030|908|2.030|996|41|21.128|17.595
 Campos|5.298|4.720|9.765|997|42|21.124|17.694
 Maria de la Salut|981|849|2.114|1.002|43|21.071|17.671
 Manacor|19.701|17.399|40.264|1.003|44|21.046|17.634
 Artà|3.723|3.315|7.382|1.013|45|21.009|17.645
 Sant Antoni de Portmany|10.317|9.249|23.359|1.022|46|20.954|17.651
 Inca|14.981|12.973|30.625|1.049|47|20.761|17.385
 Alaior|4.712|4.096|9.162|1.056|48|20.729|17.456
 Mercadal, Es|2.022|1.786|5.176|1.073|49|20.627|17.369
 Felanitx|9.183|8.021|17.291|1.107|50|20.443|17.064
 Porreres|2.698|2.365|5.369|1.110|51|20.428|17.170
 Muro|3.610|3.198|6.808|1.155|52|20.255|16.978
 Migjorn Gran, Es|745|650|1.470|1.178|53|20.140|16.902
 Ciutadella de Menorca|13.878|12.105|29.282|1.218|54|19.936|16.818
 Ferreries|2.379|2.107|4.630|1.239|55|19.838|16.622
 Pobla, Sa|6.630|5.740|12.709|1.269|56|19.712|16.632
 Sant Llorenç des Cardassar|4.625|4.198|8.320|1.283|57|19.635|16.554
 Lloseta|2.903|2.472|5.686|1.330|58|19.415|16.423
