Fecha,Country/Region,Casos,Fallecidos,Recuperados,Diferencia casos dia anterior,Diferencia fallecidos dia anterior,Diferencia recuperados dia anterior,"Region, subregion, country or area *",2020 Population,Incremento porcentual de casos respecto al total,Incremento porcentual de fallecidos respecto al total,Fallecidos por millón habitantes
2020-01-22,Diamond Princess,0,0,0.0,0.0,0.0,0.0,,,,,
2020-01-22,Eswatini,0,0,0.0,0.0,0.0,0.0,Eswatini,1160.164,,,0.0
2020-01-22,Gambia,0,0,0.0,0.0,0.0,0.0,Gambia,2416.664,,,0.0
2020-01-22,Gabon,0,0,0.0,0.0,0.0,0.0,Gabon,2225.728,,,0.0
2020-01-22,Georgia,0,0,0.0,0.0,0.0,0.0,Georgia,3989.175,,,0.0
2020-01-22,Finland,0,0,0.0,0.0,0.0,0.0,Finland,5540.718,,,0.0
2020-01-22,Fiji,0,0,0.0,0.0,0.0,0.0,Fiji,896.444,,,0.0
2020-01-22,Ethiopia,0,0,0.0,0.0,0.0,0.0,Ethiopia,114963.583,,,0.0
2020-01-22,France,0,0,0.0,0.0,0.0,0.0,France,65273.512,,,0.0
2020-01-22,Germany,0,0,0.0,0.0,0.0,0.0,Germany,83783.945,,,0.0
2020-01-22,Greece,0,0,0.0,0.0,0.0,0.0,Greece,10423.056,,,0.0
2020-01-22,Ghana,0,0,0.0,0.0,0.0,0.0,Ghana,31072.945,,,0.0
2020-01-22,India,0,0,0.0,0.0,0.0,0.0,India,1380004.385,,,0.0
2020-01-22,Guyana,0,0,0.0,0.0,0.0,0.0,Guyana,786.559,,,0.0
2020-01-22,Haiti,0,0,0.0,0.0,0.0,0.0,Haiti,11402.533,,,0.0
2020-01-22,Holy See,0,0,0.0,0.0,0.0,0.0,Holy See,0.809,,,0.0
2020-01-22,Honduras,0,0,0.0,0.0,0.0,0.0,Honduras,9904.608,,,0.0
2020-01-22,Hungary,0,0,0.0,0.0,0.0,0.0,Hungary,9660.35,,,0.0
